2024-01-27|09:02:05|gaming mouse|Newegg|-485.7
2023-05-01|05:40:39|Salary Deposit|Freelance Client|485.82
2024-11-13|19:55:40|Monthly Payment|Comcast Internet|-105.59
2025-07-15|07:59:42|Popcorn & Drink|AMC Theatres|-45.47
2025-06-09|00:49:17|Fantasy Novel|Local Bookshop|-25.89
2025-07-16|18:07:36|Elden Ring|PlayStation Store|-66.59
2023-12-31|19:25:35|Annual Renewal|Crunchyroll|-18.46
2024-01-08|12:23:44|IMAX Ticket|Cinemark|-13.13
2024-10-06|22:16:01|Lunch|Raising Cane's|-50.37
2025-09-26|11:20:41|mechanical keyboard|Best Buy|-798.34
2024-12-31|19:09:11|Graphic Tee|GameStop|-57.82
2024-08-21|11:35:16|Non-fiction Book|Target|-18.3
2025-05-17|15:10:24|Dinner|Chick-fil-A|-41.66
2024-01-02|10:05:31|Invoice Payment|Employer Payroll|2632.27
2025-07-02|16:21:49|Non-fiction Book|Target|-35.58
2023-03-18|06:36:40|Popcorn & Drink|AMC Theatres|-44.45
2023-06-21|22:22:10|Lunch|Texas Roadhouse|-55.86
2025-10-04|12:57:43|IMAX Ticket|AMC Theatres|-20.35
2025-05-21|09:15:59|Non-fiction Book|Barnes & Noble|-39.5
2025-05-05|05:52:37|Takeout|Chick-fil-A|-53.0
2025-06-17|11:00:45|Family Meal|Piranha Ramen|-40.67
2024-02-19|04:44:10|Blind Box|Hot Topic|-84.32
2023-04-02|10:16:06|Money Received|Freelance Client|2373.15
2023-04-03|07:02:25|Money Received|Family Transfer|397.81
2023-12-22|21:11:24|Popcorn & Drink|AMC Theatres|-21.34
2025-01-01|08:55:31|Dinner|Texas Roadhouse|-52.79
2025-01-27|06:39:41|Monthly Subscription|Disney+|-11.99
2025-04-20|21:53:58|Final Fantasy XVI|PlayStation Store|-28.72
2023-07-01|03:15:46|Monthly Subscription|Netflix|-19.09
2025-04-24|12:29:35|Collectible Keychain|BoxLunch|-29.16
2025-10-10|14:45:48.894186700|Digital Mirrorless Camera|Olympus|-879.98
2025-10-10|14:49:26.353416600|Birthday Gift|Family Transfer|50.0
2025-10-10|15:29:04.782126500|Sold Laptop|Facebook Guy|500.0
2025-10-10|15:41:53.170365700|Vet bill|Vet|-200.0
2025-10-10|17:02:16.467796600|First Wing|Target|-12.99
2025-10-14|10:36:40.962778100|Labubu|PopMart|-28.99
2025-10-14|12:16:27.031462700|glasses|Eye|-50.99
2025-10-14|12:17:49.513298500|Mom sent me money|mom|20.0
2025-10-14|12:18:27.339357100|gas|QuickTrip|-20.0
2025-10-16|08:41:13.965913200|Birthday Money|Birthday|100.0
2025-10-16|08:41:42.605535400|new bag|Coach|-110.0
2025-10-16|10:44:23.782199100|Bonus from job|Home Depot|300.0
2025-10-16|10:46:24.240440100|Food|Central Market|-100.0
2025-10-16|13:21:59.489722400|weekly paycheck|year up|100.0
2025-10-16|13:22:32.130446400|matcha|LALALand|-6.0
2025-10-16|13:33:33.546867700|weekly paychek|year up|100.0
2025-10-16|13:33:58.118261700|pizza and wings|Pizza Patron|-15.0
2025-10-17|10:03:12.353433300|Family Transfer|Zelle|50.0
2025-10-17|10:03:38.565116600|dad birthday gift |oakley|-150.0
2025-10-17|11:21:36.823546100|Amazon refund|amazon|15.0
